review,rating
"makasih barang dah nyampay,,,barang bagus dan sesuay dengan pesanan saya,,,mksh juga untuk seler dan kurirnya bagus pelayanan rapih ",5
"Alhamdulillah pesanan sy cpt sampai kurirnya ramah. barangnya bagus. cm warna gak sesuai. sy pesen biru 1 itwm 1. yg dtg biru smua...
tp gpp yg penting kegunaannya...
trmksh lazada...",5
"Sudah sampai, walaupun telat 2 hari dari tgl pengirimannya. barang bagus tapi ternyata kurang pas lebarnya dg kursi saya. tapi gak apa....tingkatkan pelayanan kiriman biar lbh cepat lagi.",4
bagusss aku mau  beli lg 👍👍👍,5
Yaaaaa...paket bantal alas duduk ,5
"Produk tidak mengecewakan, lumayan tebal. Bagus, rapi, jahitan jg kuat. Kecewa sm kurir aja, pengiriman lamaaaaa di kurir.  ",5
"trimakasi LAZADA barangnya bagus dan sesuai warnah yg di pesan , kurirnyapun ramah.
semoga tetap selalu melayani dgn baik pd pelanggan,dan tidak menghilangkan kepercayaan pelanggan .",5
bantal kursi nya bagus.. tebal banget..nyaman di duduki nya.. packing amat sangat rapi..Poko nya kualitas top bgt.. kurir nya juga sopan..ramah sekali..trimaksh seller dan trimaksh lazada 🙏😊🙏,5
bantal nya mantap ..sesuai pesanan gak lama nunggu nya ..kurir nya ramah .udah langganan terimakasih lazada,5
bantal ny tebal wrn sesuai pesanan. good lah,5
"alhamdulillah brg dtg sesuai estimasi, bantal alasnya jg bagus sesuai gbr.
terima kasih lazada...top deh",5
"males...murah sih, tp kualitasnya pas2n..
eh minta BLUE dikirim PURPLE, mmg biru itu sama dg ungu to mas or mb",2
"sdkt kecewa sama ukuran nya, tdk sesuai ukuran yg tertera, agak kecil, so far ok lah bahan lembut, cuma buat penjual, lain x deskripsi barang toling lebih diperhatikan",5
Kwalitas produk bagus .,5
bukan warna pink!! di kasih warna warni..tdk sesuai diskripsi,2
Bagus,5
ok,5
ya begitu la bagus si bagus juga,5
Mantap sesuai deskripsi dan sesuai gambar,5
ok..sesuai pesanan,5
lumayan tebal..,5
"barang sudah di terima,barang sesuai gambar,dan enak dipakenya",5
brg ny bgs sesuai gmbr pengiriman ny cpt..sukses lazada,5
"barang sesuai .. pk
",5
bagus ini beli yg ke 2 x ,5
Mantul,5
bagus bgt,5
bagus bangettt,1
barangnya sesuai gambar..baguss...😁,5
"Puas bgt bantalnya, sesuai, ok lah.. Trima ksh seller, trima ksh lazada",5
"oke banget
",5
terimakasih krn sabar di bawelin smua barang mendarat dengan rapi bagus dan puas....,5
ok,5
ok,5
brg baguss,5
sesuai,5
bagus,5
ok,5
makasih,5
