review,rating
"mªªªªñÑñ†††ªªªªªPP SurªªªªñÑñ†††ªªªªªP 👍👍
Respon penjual sangat baik,
Proses cepat ∂άη pengiriman juga sangat cepat

minus (merknya coplok) tapi gk apalah yg penting suaranya mantul 😃",5
"saya kira bakal sesuai sama aap yg saya bayangkan, barang seeprti second,boxnya lusuk kumuh, kabel usb + auxnya bnyak flek2 hitam",3
"barang baguss sesuai ama gambar
suranya matul
tapi ada yang kurang rapi di bagian depan spekernya",5
maaf bos baru ngasih ulesan jgn ragu blanja di sini pokok nya puas salon nya kecil2 cabe rawit mantul,5
puas bgt....bgs speakernya. . sy mau beli lg ya...terima kasih Lazada indonesia dan Sellernya di Medan...,5
kurang puas...barang seperti second...,3
"mantap gan bas lumayan . di hp harus stell equaliser baru bass nya keluar 
",5
"sayangnya ga ada bluethoot nya
",3
speaker ny bagus sesuai dng harga ny.,5
Barangnya bagus mantap 👍,5
suaranya mantap cuman bassny kurang,5
bagus sesuai gambar dan harga ,4
Mantap Jiwa,5
mantebbb,5
lumayan bagus utk harga segitu,5
"sesuai harganya, kemasan aman",5
"bentuk sesuai, tp kyknya bajakan... nama bluetooth K19, klo yg asli onyx mini",1
"barang bagus,suara ok,pengepakan ok,tp sayang br pake beberapa kali tombol on off nya ud ga pungsi",5
lumayan dengan harga segitu sesuai lh suaranya,4
