review,rating
"Good product, mudah2an awet, pengiriman cepat (2 hari), dapat potongan harga 50rb dari voucher telkomsel. :)",5
"Bagus, asli, semoga awet",5
barang udh nyampe tinggal insttal doang cepet bngt dtng nya semoga lancar ga ada kendala,5
"Sudah terima , packing bagus , belum dicoba , semoga awet thank's.            Bagus dudah dipasang. Normal  ,  Sweer !!",5
"mksh brng udh nyampe cmn blm d coba
",5
sippp..ok belum diinstal,5
😊,4
barang kondisi bauk,5
barang dapat digunakan dengan baik.. rekomended,5
kualitas bagus rekomended,5
Belum dicoba,5
working well...josss,5
bagus sesuai spec,5
"installed it , tested and work 100%",5
barang nya bagus sesuai,5
mantap.... dipakai juga lancar... thanks ya jaya PC,5
pasti bagus,5
semoga awet. ,5
sib. semoga awet.,5
semoga awet.,5
oke,5
oke,5
