review,rating
brangnya udah sampai tanpa ada cacat apapun.  tpi stetoskopnya sbelah gk fungsi 😕. terima kasih semoga semakin baik.,4
suka bgt... ni mau pesan ulang ,5
Barangnya bagus mantap,5
"Terima kasih, barang sudah sampai, diterima dg baik walau pengiriman agak lama",4
MANTAP MAS BRO. THANKS BANGET.,5
stetoskopnya bagus kok. bs d pake dan murah banget. bs dengar gallop murmur ronki wheezing,5
packing aman,4
baguss sesuai gambar,5
regangan di telinga terlalu sempit jd agak sakit. ,5
Cocok ,5
Mantep,5
Bagus,5
ok,5
