review,rating
"alhamdulillah paket udah nyampe sesuwai pesanan,,,",5
Wah mantap barangya bagus,4
"barangnya ok, sayange lamaaaaaa
anakku udah tua barang baru nyamoe",5
"real pick best quality n fast respon n delivery.. good seler i like you,,next request to produk..thanks",5
"mantaps sesuai gambar d toko.
tpi belum d coba .Mudah2 berpungsi semua tombolnya",5
"berpungsi dengan baik cuman ada retak nya sedikit mungkin karna tertumpuk tumpuk kali ya barang nya,tapi tak apalah anaku suka bangeeet😘",5
saya agak kecewa gan saya mesen warna merah tapi datang warna orange,5
mantappp dah pokok nya....,5
barang dtg normal anak pun senang thanks lazada,5
Alhamdulillah bagus,5
bagus ank saya suka..tapi sang mnta mrah mlh dteng orange,5
Oke packing rapi..tapi blm saya coba😁,5
SAMPAI CEPAT,5
terimakasih,5
berfungsi dengan baik... makasih...,5
barang bagus...packing rapih dan aman....recomended ,5
Sorry baru bs blsnya barang uda d trima dan bgs berfungsi dngn baik barnagnya,5
"alhamdulilah barang nya dah datang,sesuey pesanan,mksh Lazada sukses slalu👍",5
Pelayanan ok....barang utuh g rusak,5
pengiriman cepet rekomended,5
thanks barang sudah sampai cepet sekali pesennya kemarin skrg udah sampai ,5
bagus,5
"mantul

",5
nice,5
"makasih
",5
"mantap
",5
"mks kk
",5
Nice!,5
real pict,5
mantullll ,5
