review,rating
sejujurnya gua nagih sih pembelian pertama ini .. soalnya stikernya bagus... gua mau beli lagi cuma takutnya nanti dikirim stiker yang sama kayak yang udah gua beli sekaramg,5
gak sia sia beli di sini murah dan kualitas nya juga bagus pokok nya mantap dah kalo beli ini saya sudah beli yang ke 6 kali nya. Terima kasih. ,5
"mantap pasti saya akan order lagi di toko ini 
kurir ramah gaspoll pokoknya👍",5
lumayan bagus lah ,4
terimakasih barangnya sudah sampai bagus banget next pasti order lagi,5
"Mantap,gak nyesel😉",5
"sesuai real pict, tapi kaga ada supreme nya :v",5
jos min barang nya ,5
thanks ternyata setikernya kkurang memuaskan tapi gpp,5
Cukup bagus untuk harga segini,5
"stiker nya bagus bagus lumayan beli 100pcs gk nyesel dateng nya juga cepet, pokoknya dijamin deh kalo beli. ",5
maaf baru kasih ulasan makasih paket sudah datang dan cepat terus stiker nya lumayan bagus bagus nggk nyesel saya beli produk ini,5
suka🥰,5
manta slur,5
barang bagus,5
stiker nya gampang lecek,1
"cukup bagus, kulirnya juga ampe kenl maksih lazadA
",1
stiker nya bagus bgt okk lah,5
"jangan ragu beli di sini .... packing nya lumayan
",5
"Lumayan, packing aman rapi. Cuman pengiriman lumayan lama.. ",5
"MANTUL 

",5
puas sekali. stikernya realpict bagus bgus. maksih jeje online store dan lazada. next mau order lebih banyak ah,5
"Bagus pokoknya stikernya, cuman ada yang dapet 2 kayam skymo kwkw gadapet 420 nya mwkw",5
stickernya bagus2 keren dahh,5
Stiker nya bagus sayang nya saya order ke-2 kali  nya ada yang sama gambar nya ,5
"sdh diterima, brng bagus kurir ramah dan baik...terimakasih lazada dan seller..",5
Baranggg bguss 🖤,5
"Damn, gak sesuai harapan.
Sticker'a berbentuk kotak semua.",2
Ok,5
bagus,5
cocok,5
"mantap
",5
mantapp,5
bagus,5
bagus,3
mntp,5
ok,5
