review,rating
Alhamdulillah memuaskan,5
jos barngnya sesuai ngk mengecewakan,5
"barang yg datang bagus bgt,original,packing rapi,sesuai gambar. dan yg paling penting pengiriman cepet bgt, respon penjual juga baik dan cekatan, recomended bgt pokoknya. ",5
"cakep sesuai yg dharapkan
thx lazada 😍",5
"pengiriman cepat, rapih dan memuaskan
",5
Barang mantull terimakasih lazada,5
tul mantul. 👍,5
"penjual nya ramah, barang nya oke bgt fast respon and barang cpt sampai.. mksh lazada",5
"barang bagus sesuai harapan, packing rapi, dan cepat sampai, terimakasih suplier dan lazada.... 😊
",5
"kualitas stroller bagus, fitur lengkap sesuai deskripsi, penggunaan mudah, pengiriman super cepat",5
barang bagus dan sesuai,5
"warna dan tipe yg dikirim sesuai, brg original dan hrg murah. thx ya",5
Bagus,5
