review,rating
sesuai pesanan.. cocok dengan Xiaomi redmi 6.. semoga awet..,5
mantap pesanan sesuai barany yg saya terima,5
mantap sekali sesuai gambar,5
"Tengs seller & lazada... Barangnya mantul, mantab",5
"Alhamdulillah paket sdh tba dgn kondusif,packing mayan rapih.
Paket sesuai dgn deskripsi,barang mayan bagus dn semoga awet...
Pengiriman mayan cpt,mkasih lazada n penjual sukses sllu...",5
"cakep susai gambar , mantaps",5
trimakasih ya lazada barangnya sudah sampai dan sesuai dengan gambar hasilnya memuaskan bagus barangnya..😊😊,5
bagus...... ,5
puas banget top markotoo bosku,5
barang ok ,5
mantap!!!,4
"barang mendarat sangat cepat. trimakasih lazada+seperti
",5
barang bagus....,5
sukaa bangett. barang nya bagus.. 😀🤣🤣sukkaaaaaaa,5
"Maaf telat, barang sampai dengan selamat, pakingnya bagus dan rapih banget! terbaik deh",5
"barangnya bagus,kurir nya ramah,trimakasih",5
"alhamdulillah barang udah sampe sesuai pesanan,
trimakasih lazada , seller & kurir👍",5
mantap bgt kekar bgt soft case nya kalo jatoh hp jadi gak gampang rusak/remuk,5
Alhamdulillah mantul 👍👍,5
barang sesuai deskripsi dan pas.,5
sangat bagus👍,5
maer maer peking rapi,1
mantap redmi 6 oke,5
tq. lazada pengiriman cepet barangnya bagus aku suka hrgnya murah tp ga murahan,5
ok sesuai pas di hp tq ya,5
Barang Bagus and Berkualitas + murah,5
sangat bagus saya suka makasih lazada...... ☺☺,5
"bagus barang real pict
respown fast",5
barang realpict bagus recomend seller ramah,5
"kalau ada 6 bintang sudah saya kasih, mantap banget, murah tapi bukan murahan kualitas nya",5
Sesuai.. Kurir langganan,5
"Oke barang sudah mendarat,, terimakasih lazada dan leseller",5
Sesuai bgs banget ,5
sangat bagus ,5
"Lumayan belanja d lazada murah meriah 
Barang nya udah sampe",3
sesuai dgn gambar ,3
pengiriman cepat sofcase bagus sesuai pesanan ,5
bagus sangat,5
pengiriman dan seller sangat cepat mantul... barang top,5
bagus banget. Sesuai foto dan aslinya,5
"bagus, recommended dah pokok nya. thanks lazada",5
"proses pengiriman sangat cepat, barangnya juga bagus banget dengan harga segitu. top lah",5
bagus kereen sesuai pic,5
makasih bosku bagus bgt casenya😊,5
"Makasih barang nyampe sesuai orderan...mulus, cakep lah ",5
barangnya bagus..cepat sampainya..pokona mah keren,5
"bagus sesuai yg diharapkan,, ",5
"barang bagus, sesuai gmbar dan cepat sampai",5
"Barang bagus,,  pengiriman juga cepet,,, 
Tq lazada",5
Lmayan bagus,5
saya puas..pngiriman cepat barang sesuai,5
paket,5
keren,5
bagusss,5
good,5
mantap,5
oke,5
