review,rating
"Packing Super duper aman pake banget
berlapis lapis...
Seller responsif menjawab chat, terimakasih
untuk Lazada... mohon ditingkatkan kecepatan pengiriman... recommended seller jangan ragu berbelanja di toko ini. semoga awet",5
"makasih bos atas respon cepatnya paket lampu motor nya udah sampai,mantap udah dipasang terang benderang next akan pesan lag buat motor SkyDrive ku,makasih juga buat lazada dan kurirnya",5
barang sudah d terima sesuai yg d tawarkan.... harga murah dapet bonus nya juga mantap poko'a terimakasih lazada dan toko penjual... ,5
"Alhamdulillah paket sdh dampai, paking rapi dan safety, kurir baik dan ramah. Lampu blm dicoba semoga berfungsi dngn baik. Thanks Seller dan Lazada. ",5
"pengiriman cepat, packing aman, respon ok..... recommended pokonya.....lampunya lebih terang dari merek2 lain. 😉",5
mantab.....bosss,5
"sangat terang, semoga awet..",5
mantap barang bagus dan sesuai keinginan saya merek dan WAT lampunya,5
"Lampu jauh nyah mati kak
Kagak nyala
",5
sip lah.,5
oke,5
mantul,4
