review,rating
makasih yaaa langsung di minum... ,5
"Rasanya beda dengan yg biasa aku beli ,,warna agak kuning harusnya agak putih,,,entahlah ini ori  atau tidak",3
bagus makasih,5
"barang sampek dg Rapi & cepet, makasih",5
sesuai pesanan ...tp belum d coba,4
Susu nya enak bisa nahan laparr...,5
"maaf, kenapa warnanya kekuningan ya?... Suprot yg biasanya saya beli warna putih.",4
"mksh brg sdh sampe dengan cepat 
mksh lazada",5
terima kasih barang sesuai deskripsi dan ini order yg ke2. ,5
Good👍👍,5
