review,rating
thanks yak.....barang nya sesuai mantulll....dlm 1 hari gak rugi saya blanja disini sampai 5 macam👍,5
kereen.. oke nih buat kru wedding saya nanti... mantap jiwaa....,5
"Pengiriman lumayan lama,mungkin karen barang  dari luar negeri. 
Tapi barang ok lah,real pict👍👍",5
ookkreee mantap,5
real picture keren recomended,5
Paket sesuai gambar,5
Keren dan ga ngecewain 👌🏻,5
"good, pertahankan walaupun lama tpi barangya suda sampai, 1 koresksi Tolong di percepat , ",5
mantappp..,5
"makasih
",5
Good,5
