review,rating
udah 3x belanja disini jadi ngga usah di ragukan lagi 👍👍 sama kurirnya udah kenal soalnya langganan lazada ☺☺,5
alhamdulilah yang saya pesan sudah sampai walaupun yang dipesan rasa vanila..dan yang datang rasa madu..tpi gak apalah..tetap bersyukur yang penting sudah sampai.,5
Always mantul belanja di mari... ,5
Cakeeeeep... ,5
"ok..pengirimanya sangat cepat sekali saya suka..pertahan kan terus yah..bang kurirnya juga sdah langganan..baik..tanks lazada..
",5
puas sesuai dgn pesanan and kurirx baik dah langgan bget ,5
sesuai pesanan...sekali lagi sayang pengirimannya semakin hari lazada semakin lambat...buasa standart paling lama 2 hari...sekarang bisa lebih..,5
ok 👍👍,5
langganan,5
udh 2 kali order dan gaprnh salah pengiriman juga cpt,5
pengirimannya cepet,5
sesuai pesanan.. mantap lahh ,5
mau pesen lagi,5
pengiriman cepat,4
pengiriman cpt peking nya jga rapih,5
puasssss,5
mantap,5
Ok bgt,5
