review,rating
"tq brg dah nyampe, kmsan rapi pake buble wrap n kerdus. mudah2an cocok ini utk pembelian yg ke 2 kalinya ",5
sama seperti gambar,5
Ok brng dtg sesuai pesanan packing rapih and kurir nya jg ramah sudah pakai produk ini beberapa bln hsl nya bgs thank klinik theraskin thank lazada ,5
g sesuai pesanan,5
datengnya cepet creamnya juga sesuai pesanan trims lazada semoga cocok biar langganan,5
barang uda nyampek..baru kasih ulasan soal nya mau coba dulu...dan hasil nya memuaskan ,5
"barang nyampe dg selamat, barang ori.. terimakasih lazada.. terimakasih theraskin..",5
Kl foundationnya bru nyoba x ini😊,5
"cocok di wajahku,bikin glowy.....thanks theraskin,thanks lazada 👍👍",5
"Mendarat dengan aman, dan produk pesanan komplit..... ",5
semoga cocok,5
produk kosong uang disisip dipaket.. 😍😍,5
ok ,5
sip.......,5
ok,5
