review,rating
sumpah keren bangus banget di luar ekspektasi saya sangat puass belanja di store ini lebih keren dr gambar nya anak pun puas terima kasih,5
"bagus, anak saya suka, ga tau kalau ada yg softcase jd beli yg hardcase.. next lah beli softcase.. pengiriman lama di pickup kurir.. terimakasih",5
jelek bngt orang saya pilihnya no 4 masa dkirim g sesuai jrrek bngt mau diretur pcma buang2 waktu prvuma,1
"barang nya udah sampe, bagus banget dan sesuai sama di gambar anak saya suka 😊 terimakasih seller dan lazada sukses selalu 😍",5
thanks lazada sm bg kurir y brg y ok bgt sesuai dgn pesanan y top bgt deh anak sy suka bgt 💓 lazada,5
apaan ni saya pesen yg frozen malah dikirim yg gak jelaa bgini klo jualan tolong yang jujur boss klo mau laku jualan ko gak jujur bgini katanya oppo muat buktinya oppo f1 saya gak muat udah barang gak jelas lama dan jelek nyesel saya beli balikin aja de uang saya,1
Barang sudah sampai... baguss tapi salah tipe saya minta tipe 3 eeh dikirimnya gambar tipe 2... yaa mudah2an anakku suka..,5
keren banget 🥰🥰🥰🥰,5
"mantull banget case nya,tapi buat saran biar lbh mantul case nya ketutup smw dong,jadi biar lbh safe deh",5
realpict banget anak ku suka bgt 🥰,5
"mantap sesuai pesanan....thanks lazada
",5
👍👍👍👍👍anaku senang sekali👍👍👍👍👍,5
sesuai bnget sama pesenan ku pokok GK nyesel,5
barang smapi dengan cepat dn aman....barang sesuai pesanan ok trima kasih,5
barang bagus sekali anak saya suka,5
Minta gambar no 1 dikirim no 4.tp gpp lumayan jg.,3
bagus anak ku suka,5
"bgs,sngat bgs",5
"Gambarnyaa keren,, cuman casingnya gk menutupi keseluruhan body hp.. terutam atas bawah..",5
syantik bgt case nya..... anak saya syuka banget ... thanks lazada,5
"Barang oke seller jga respon'a sngat bgus, yg penting anak q suka",5
"Bagus bgt , ngak nyesel belanja disini ",5
kayaknya bakal langganan terima kasih seller 😊,5
barang bagus sesuai pic,5
bagus banget sangat memuaskan trimakasih lazada ,5
bagussss ,5
Kerennnn,5
