review,rating
sumpah ini tuh bagus banget tebel banget lagi ..dan  toko nya jga sllu merespon dngan cepat ga nysel deh bli di toko ini sllu amanah 🥰😇,5
"mantul pkonya...real pic bgus bgt brngnya,sesuai estimasi....nyampenya...",5
"asli ini barangnya bagus banget dengan harga segitu, pokoknya mantap👍",5
Alhamdulillah order yg kedua tetap memuaskan... terimakasih,5
bgus bingiiiiiiiiiiiiits puas pkonyaaaaaaaaaa,5
bahannya lumayan tebel jaitan rapih top...😍,5
lumayan bagus...tpi kok d bagian bawah kotor...mohon d cek ulang,4
makasih tasnya bagus sesuai gambar,5
alhmdulillah sempurna,5
seperti biasa bagus,5
bagusss tas nya 😍,5
Keren realoict pokonya syuka ,5
Tas cover nya bagus makasih lazada,5
barang y bagus ,5
Bagus tasnya.. keren banget,5
"bagus juga barangnya,gak nyesel belanja terus di lazada",5
maaf nya kka telat.barang nya bagus saya gak pernah keecewa di lazada mksh ,5
"Sesuai pesanan, respons cepat thx",5
Bagus Sesuai pesanan.. Tx ,5
suka😍😍😍,5
"Bagus, mksh",5
Bagus baget cocok sesuai gambar,5
"selalu puas,real pict ",5
tasnya sesuai dengan gambar..real pict..dan pengiriman cepat,5
"god job
",5
good,5
👍,5
mantaapp,5
