review,rating
"baru x ni sya psen di lazada brg ny sgt jelek. kunci pngait ny lepas, tu bru sya bnerin, kliatan pulak tu wrna lecet ny ptih² gtu. gr² takut lepas lgi jd susah dbuka tas ny. gantungn kunci ny pun cuma kpala ny doank. bdan ny gda. tas ny juga rada² penyok, munkin krna packing ny cuma plastik za. sya kmaren psen krna sya liat ulasan ny byk yg blng bgus. eh, trnyta bgni. bru x ni sya psen tas di lazada kecewa. ",1
good realpic,5
"tasnya bagus dengan harga segitu , pengirimannya juga cepat . makasih seller n lazada😍",5
biarkan bintang yang bicara,5
Always The Best Seller!,5
bagus banget,5
lumayan lah buat harga segitu... bagus real pic,3
"tas y sangat sangat baguuuuuus..harga murah kwalitas bahan tas y bagus..pasti jadi langganan
😍😘😘..pokok ya genting..g akan yesel beli tas d toko ini..mksh tuk semua y",5
alhamdulilah paket udah dateng walopun aga lama nungguin nya tapi aku suka soalnya sesuai pesanan bagus makasih juga buat abang kurir nya,5
maaf di kasih bintang 3 soalnya yg warna ijo botol ga sesuai sama pesenan,3
bahan di luar nya bagus sgt tp syg bgian dlm ny krang tahan sbaiknya d kasih kain jd seperti mewah ,4
"tas nya lucuu, real pick
pokoknya ga mengecewakan
makasih lazada",5
"Akhirx sampai juga 
Barang sesuai harga, realpict,bsesuai pesanan",4
"Barangnya bagus Realpict,  amanah sekali..  Aku suka makasih... ",4
"sumpah realpict bget bahan tebel gak kaku seller ny ramah,kurir jg ok udah lngganan...mksh lazada",5
barang nya sudah nyampai rel pict bagus banget makasih Lazada dan selernya,5
tas nya . bngus bnget saya ska skali,5
Asli cakep bnget😍😍,5
bgus bnget tas nyh 👍👍👍👍,5
barang real pict 😍packing rapi biar bintng yg bicara😊,5
"tas nya unyu banget,, real pict seller nya jg ramah.... ",5
"tas nyh bagus dan gk mengecewakan
pokok nyh best seller bgt😍😍😍",5
cantik banget sukaaa,5
"barang Realpict😇sesuai digambar
pokoknya the bestlah ngga nyesel dan ngga mengecewakan😊",5
"barang bahannya oke ga mengecewakan, cuma gantungannya aja sih yang beda :))) trs pengirimannya lumayan lama hehe meleset satu hari dr estimasi, tapi bukan tasnya jempol banget deh juaraaa (gatermasuk gantungannya yang beda yaaa hehe) ",4
Mantulll😘,5
barang ok,5
bagus banget,5
Realpict❤the bestlah☺☺,5
"mantap,gak nyesel pokoknya",5
Barangnya realpict mksih lazada 😍,5
Good,5
