review,rating
"Alhamdulillah paket dah sampai mksh buat tokoh nya sesuai, buat lazada sukses trus, mksh buat abang kurir nya",5
"tasnya gede bgt buat ukuran waitsbag, apa emang segitu😂 bahannya bagus. .  tebel. .gak ecek ecek. . semoga ttp amanah dan lancar terus buat tokonya 💙💙",5
"barangnya baru sampe,,bagus real pic aku suka..amanah. .mkasih buat seler nya sama lazadanya...mantap👍👍pertahankan ",5
terimakasih lazada dan kurir😊 barang nya sudah diterima dan sesuai gambar. jangan ragu beli disini ya😊,5
"mantap barang bagus sesuai pesanan, tapi sayang pengirimannya agak lama, tapi gpp lah barang joss😅😅",5
"Alhamdulillah barang mendarat dengan baik, pesenan sesuai,warna juga sesuai 😍wihhh pokoknya mantep dehh
jangan lupa mampir ke toko ini, di jamin puas belanja di sini
mbak kurir nya juga ramah, udah langganan jadi baik deh😚
Jangan lupa follow toko ini
terimakasih ❤️
wait for the next order💓",5
"harga Murah .. tapi barang g murah . sesuai pesanan. thanks bwt seller .. & lazada sukses selalu . semakin maju.
Abang kurir ramah udah langganan ",5
makasih yh .. barangnnya udah nyampe .. tapi agak ada kain yang kurang bagus .. tapi buat harga segitu gpp lah ,5
"Barang nya sih bagus, tpi sayang resleting nya macet gak bisa di buka.
Tolong perbaiki kualitas nya.",5
"untuk hrganya yg murce..tasnya bgus bgt... Alhamdulillah suami suka..trimksh seller.... mdh2n bsa berlangganan trs...
",5
Saya puas dengan barangnya,5
"Mantap lah, thanks buat lazada n pak kurir 👍👍👍",5
tanks ya ..barang bagus sekali ..,5
barang nya bagus.makasih abang kurir yang baik hati,5
"maaf baru sempet kasih ulasan, packing bagus raoi, barang bagus ngga ngecewain dengan harga segitu ",5
"Puas Dan Memuaskan Kata nya .
",5
sesuaiii. suami saya suk banget. ,5
"terimakasih barangnya udah sampe sesuai pesenan 
mantap 😍😍😁 trimakasih Seller Lazada kurir😚😚😍",5
kurir nya songong kga sopan . brani bentak bentak pelanggan ... klo barang nya lumayan bagus ...,1
bgus....keren sesuai puas deh 🖒🖒🖒🖒,5
"pengiriman lama 😁 tp Alhamdulillah sesuai pesanan,tas bagus 👌 suami suka 🥰 
terima kasih 🙏",4
"mkasih brang udh nyampe..
kemasan rapi..
kurir juga sopan dan sabar menunggu",5
alhamdulilah barangnya udh sampe...barangnya bagus dan kurirnya ramah mksh lazada...,5
"sampai dengan selamat, barang ok ... 
besok lagi jgn lama2 ya kalo ngirim ... keburu ngiler ..hehe",5
bagus tidak mengecewakan,2
dasan nya Jelek,5
Bagus. Harga Murah. Sesuai Harga,5
"mantulll ... saya udh order 2x . awalnya beli 1 ... buat suami ,,, eh temen suami pada bilang bagus ,,, jd pada mesen ,,, 😊😊😊 ... ",5
"Barang nya bagus dengan harga terjangkau.
Makasih lazada ya kurir nya juga dah langganan ramah juga. 
",5
alhamdulilah baragnya sampai dengan selamat  pekirimannya lama banget Barangnya sesuai ke inginan semoga sukses selalu lazada saya udah laganan di lazada,5
barang nya sesuai dengan harga kk. pengiriman agak lambat sih.. tpi sudh smpai sesuai pesann .maksi kk,5
"Terima kasih paket nya udah saya Terima, saya udah belanja disini dua kali barangnya tidak mengecewakan dan harga nya pun murah tapi tidak murahan sekali lagi Terima kasih. ",5
"nyesel beli 2 doang, awalnya coba2 aja tp barang realnya tdk sesuai ekspetasi, ku kira harga segitu bakal jelek ternyata bagus wkwkw",5
Alhamdulillah barang udah sampe barang sesuai yg di gambar gak ada yg rusak sedikit pun .... makasih lazadaa ,5
"wah barang sesuai gambar harga ok paking nya rapi lagi ga akan nyesel deh belanja di toko ini😊😁
hatur nuhun lazada",5
 brang riel pic bgus .smga suami ku ska . mksih buat toko dan kurir ya smga sllu amanah dan bisa langgann trs ,5
"mohon maaf baru ngasih ulasan, tas nya keren banget sesuai dengan harga yg lumayan pas d kantong. thanks lazada",4
"memuaskan
",5
"Barang-nya :
•keseluruhan sangat bagus
•tidak ada cacat
•sesuai gambar
•seleting-nya nyendat²
•""recommended""

kurir-nya :
•ramah",5
bgssss bgttttzzzz😘😘😘,5
"barang cepat sampai,
sesuai pic ok terimakasih semoga sukses lazada",5
"barang nya udh saya terima, lumayan bagus, cmn  ada pesanan saya baju koko , yg blum datng sampai sekarang, saya pesan dari tgl 8 mei.",5
"Bagus tasnya bahannya juga lumayan bagus tebel, aku syuka.  Next mau order lagi yg merah maroon. Kurirnya baik bgt ramah udh langganan juga.  Trimakasih lazada. ",5
"Barang oke bahan bagus 
Packing rapih dan pengiriman sangan cepat  
Thanks  lazada 
     Pertahankan terus kualitas barang",5
"makasih lazada barangnya lumayan bagus & agak gede,gk ky yg lalu tas'ya kecil.sy sangat puas krn pesenan sesuai keinginan sy 😁😁",5
"pertama kali belanja online sudah puas, awalnya takut kena tipu tapi sekarang jadi takut khilaf belanja online, hhhh. sesuai pesanan, real pict, sesuai harga, barang bagus tidak mengecewakan. terimakasih toko nya amanah. sukses terus. kurirnya juga baik.",5
"barang nya baguss dan suami juga suka bngt 
dan bapak kurir nya juga baik dan ramah
makasih yaa lazada 🙏🙏

maaf yaa gak kefoto soalnya udah langsung dipake sm pak suami😁😁",5
barang ya bagus pick sesuai yang di harapkandan pengirimanya cepat lagi murah lagi harga buat harga segitu mah,5
alhamdulillah barangnya sdh sampai...akhirnya barang yg saya tunggu tunggu akhirnya sampai juga...terimakasih😊😊😊,5
"sudah diterima dlm kondisi baik,tasnya lumayan sesuai sma hrga yg pntng bermanfaat buat naro dompet,hp dll muat. terima kasih buat bang kurir,seller&lazada",5
"Paket sampai.. bagus, mantap sesuai pesanan. the best lah pokok nya recomended, gaada kendala apapun, kurir ramah, baik, sopan, amanah, fast pengiriman. Harga juga sesuai dengan barang nya.🤗😇🙏👌langganan trus ini mah hehe😂",5
"Gue suka bngt sm barangnya dia bgs dan ori pengiriman pun memuaskan;)

Thanks Lazada
Thanks Penjual
Thanks Kurirnya baek",5
alhamdulillah barang nya smpe dngan baik..kurir nya jga baiik syekalii smpe hrus bolak balik krim pket nya..Thanks Lazada smoga sllu Amanah yaa 😘,5
brang y dah ympe wlau pun agk lama nunggu nya.gpp  suami ku suka bngtt..pkok ya puas deeh ..okk brang y sesuai dn tak ad yg cacat sedikit pun peking y jg rapih..kurir ya jg sopan ramah..mksh lazada ,5
"tas nya bagus banget murah banget lagi dan bahannya tebel dalemnya ada kantongnya juga ,keren pokoknya 
",5
"Real pict barang nya bagus,pokoknya gak nyesel good job👍",5
"paket udah sampai, barang ok lah dengan harga segitu..
gk ada yg cacat, kurir ramah..udah langganan..",5
sumpah ini bgus bnget suami sampe seneng dibeliin tas ini jadi dehh kasih kado ultah suami makasih🤗😊,4
"kecewa pesan 2 malah yg dtg cuman 1 , tolong dong kalo mau kemas barang tu di liat"" dulu org pesan berapa , jgn seenak nya aja , tolong lah kirim kan 1 lagi pesanan saya , , 
buat kecewa pembeli aja , 😡😡",5
barangnya udah nyampe . realfic bahanya sesuai deh dngan harga poko nya the best buat kulir nya ramah karna udah langana,5
"Yaa meskipun barang ga real pict tpi ya sudahlah tak apa ,apresiasi untuk respon seller'y dan kurir ramah krna udh langganan 😊 Thanx lazada.",5
"Best lah pokok nya.. untuk harga segitu, kualitas yg ditawarkan juga gak kaleng², seller respont nya juga good. pengiriman cepat.. packing rapi. Terima kasih untuk seller dan LAZADA. puas belanja nya",5
"gak nyangka tas murah tapi kualitasnya mantull
nyesel beli 1 doang.
makasih lazada
besok belanja lagi",5
