review,rating
mantul barang sesuai gambar,4
kualitas tasnya bagus sesuai pesanan,5
tasnya bagus makasih Lazada dan makasih mas kurir,5
"barang dah smpe realpic....bakal order lg tas nya trimakadih untk abang kurirnya baik dan sopan udh langganan pula

",5
papa aku suka kk,5
"kecewa,barangnya sobek gak kejahit",1
"Sesuai gambar dan kualitasnya sangat bagus cepet pengirimannya...sangat memuaskan
",5
tasnya bagus sesuai dng gmbr,5
"Mantapppp,, terimakasih barang sdh sampai dan memuaskan",5
mantap barang oke n pengiriman cpat...,5
barangnya mantulll...suami sukaa...👍👍👍👍👍,5
lazada memang oke tepat waktuba4qng jugnole ,5
taasx muaantaap banget keren n kulitx lembut.mksh lazada sy puaas blnja di toko ini Joss pokokx,5
"Lumayan bagus harga segitu sesuai,, dengan barangnya",3
USB nya rusak,2
terima ksih brang udah sampai mf tlat ngasih ulasan barang bgus kurir nya ramah,5
biar pun telat ngasih ulasan pokoknya lazada mantulll,5
Mantap barang sesuai harga,5
Suamiku senang ama tasnya... Thanks👌,5
"tas lumyn Ok ,sesuai harga",3
bahan lumayan bagus ...,5
real pict ,5
jellek,5
lumayan,5
👍👍,4
mantul,5
👍,5
"
",5
