review,rating
"Tas selempang yg cyantik..dgan 4in1
warnanya yg begitu menggoda dn menarik perhatianku...dn aku membelinya barangnya bagus..respon cepat pengiriman cepat...pokoknya..BEST PISAAAAN",5
"alhamdulillah barang nya udah sampe tapi ukurannya agak beda (agak kecil) yang gambar kedua itu, apalagi yg keempat juga makin kecil buangettttttttt tapi gapalah dan saya juga kasih bintang 5😊",5
tas ya sih lumayan dengan hrga segitu syg ya ga ada gantungan konciya ko  anak syg tadi nayain gantungan konci bonekaya manah ,5
"Bagus. Sesuai dengan harga. Kalau di toko g boleh dengan harga segitu. Pengiriman juga cepat plus petugasnya ramah. Thx, lazada",5
tas nya sihh lumayan buat harga segitu .. tapii kecewa nya saya minta warna navi ehh yang datang malah item untung ajh ibu nya suka .. mksh lazada sukses terus ...,5
barangnya sudah sampai dan bagus kurirnya juga baik .pengiriman cepat perkiraan tgl 26 September tgl 24 sudah datang terimakasih lazada,5
tas nya udah dtang.makasih sesuai pesanan. cuma sayang boneka nya kagak ada 😭😭,5
"mas ini tas sya kok tdk sesuai dgan digambar ya ..
boneka nya hilng ",5
"tas nya ter lalu kecil ,, yg kecil gx sesuai dengan yg di gmbar ",2
"alhamdulillah pesanan sesuai dengan gambar kain juga bagus pelanggan saya suka,trimakasih...kak",5
mantap. tpi kecil😁,5
"tas nya lumayan lah harga segitu cuma gk ada boneka nya, ",5
"bak sya betul""×. kecewa gk sesuai pesanan
sya minta warna biru, eh mlah di kasi warna hitam
udh itu tasnya jelek terlalu kecil x. hemm 
bak lain x  jgn asal di iyakan klu gk bisa
😭😭😭....",2
warnany tdk sesuai dgn yg dipesan...,5
lumayan puas mksih lazada,4
"brangnya dah nyampe .... cpat lagi cuma 2hari hmm brang ya jga sesuai harga ... v sya kcwa ea psan warna ungu dtangnya warna pink .... 
",5
"Min, gantungan boneka nya gak ada, gak sesuai gambar ????? ",5
bagus sesuai harga lah,5
paket sdh diterima..tpi kecewa sekali pesan 2 ( bayar 2 tas) yg dikirim cuma 1 tas...mohon dikirim kembali kekurangannya saya tunggu ya.Trimakasih.,1
"tidak sesuai gambar asli apa lgi bonekanya celek banget kecewa, ini pesanan org nggak mau dia bangai mana ini memang jngan asajual dong ",5
bahan nyh ga sm....sm yg  d.kirim inh lebih tipis k.cewa d.kira SM yg d.poto,5
Bgus sesuai,5
"kecewa, kok barang rusak di bawah, bagian depan lagi,,, klau belakang mendingan.. gmna ini kak?? bisa di tukar GK???",5
"Barangnya udah sampai,tapi barangnya nggak sesuai dgn yg digambar,saya pesan warna violet yg datng warna pink.lain kali di teliti dong jg asl2 kirim",1
"barang tidak sesuai dengan gambar.pesan warna biru yg datang warna hitam,model tidak sama dengan gambar.lain kali harus di teliti dulu",5
"Kalau memang bener isinya 3, seharusnya mbaknya ngasih keterangan 3in 1. Bukan 4in 1
Suruh buka satu persatu, lah kok malah jawabannya emang isinya 3. Gimana sih",5
"mintanya warna violet, yg dikirim warna pink...
lain kali tolong di cek sebelum pengiriman...
jg keadaan barangnya cacat ada bagian yg sobeknya...",1
Gmna sih ka.. psen tas wanita despacito set 4 in1.. ko yg dtang mlh tas slmpang bgni.. kecewa.. gmna sihc...,1
tas ny bagus tpi sayanng gantungan boneka ny nGk ada,5
"barang bagus sesuai pick..
thanks lazada",5
"Kecewa,  mesen ungu yang dateng pink,  apa ini?! ",1
alhmdulilah pake sudah sampe Peking nya rapih barang nya bagus sesuai yg di gambar ak suka banget mkasih lazada sukses slalu buat lazada. poko nya puasss banget dah trimakasih,5
"kecewaaa banget q pesen warna violet datang nya pink mana boneka nya ngga ada d luar nya warna violet dalem nya pink tolong dong d cek dlu
",2
jualan tuh yang benar minta warana biru knpa yang datang warna putih..  jgan bohong pelangan woy..  ,1
alhamdulillah barang nyampe dg selamat cuma...barang yang dateng beda sama barang yang dipesan...mohon lebih teliti lagi ya kak,2
"pesan tas warna cream kenpa yg dateng warna pink ..
tas nya mah bagus .tapi tolong perhatikan yg order nya warna apa.
dan pesanan saya masih ada 5 yg blum datng tolong kirim warna nya sesuai yg saya pesan.",2
"hasilnya kurang memuaskan,pesanya warna crem tapi yang datang warna biru,mohon kedepannya kalau warna yang dipesan mohon konfirmasih supaya kesannya baik.proses pengirimanya si ok trimakasih lazada",5
kecewa baru kali ini pesan g sesuai yg d pesan ...org minta ungu d kasih biru beda pula tas nya tdk sesuai gambar,1
Alhamdulillah pesanannya sudah sampai barangnya oke tidak ada masalah aman cuman kurang bonekanya aja baguslah dengan harga segitu,5
"Tasnya bagus,sesuai pesanan thanks Lazada...tingkatkan....",5
"Tasnya kecil,tas sesuai dgn gambar",5
Psanya warna ungu dtangnya ping ..Bgus siii,5
"tasnya aq  suka sesuai yg di inginkan. dan sangat memuaskan
  Terimakasih  banyak LAZADA",5
"barang tidak memuaskan, tidak ada bonika",5
barang nya tidak sesuai dengan gambar .saya sangat kecewa .ini mah gak ada boneka nya ,5
kenapa beda sma d gmbar,5
"Tas nya bagus sesuai dengan harga mudah""han aja pelangganku suka amin",5
pesan wrna violet dikirim wrna pink,2
Barang lumanya bagus  ,5
"barag telah di terima,mksh 
",5
tas nya bagus banget makasih lazada suskes ya nda semoga awet ya,5
"pwngiriman cepat, tp ternyata yg 3 ukuranya kecil2,tali nya juga cma satu",5
Terima kasih paket sudah nyampai,5
puas lahk pokok na mah,4
"saya suka dengan tasnya,hrganya jg murah
",5
bagus dan tidak mengecewakan lah,5
"barang nya realpick👌sesuai gambar,,,kurir nya juga ramah,,mksh lazada👍🙏",5
"sangat kecewa dan tidak memuaskan... masa barang di kirim dalam tas nya lepas semua tidak terjahit..  bagai mana ini jadinya! ! ! 
",1
"Sedikit  kecewa ngga ada boneka nya dan bahan nya kasar bgt, di kira gagal pengiriman ngga tau nya besok nya datang,  saya mh udah pesen lg bae,  besok pasti datang lg ",2
"saya pesan warna violet atau ungu tapi yg dikirim warna pink tua
jahitan nya kurang rapih, bahan nya jg kurang bagus.",2
Saya minta warna black sama crem malah yg dateng dua2nya black dan nyesel juga beli tas gak sesuai gambar,2
ya makasi lazada tas nya dh keterima cocoklah sama gambar tp sayang ga ada bonekanya,5
kenapa barang yg sy pesan gx sama dengan pengirimanya..sy minta warna ungu.mlah yg di kirim warna ping..,5
agak kecewa sih.kirain saya tas yg kecil2nya bisa di bawa kemana2.bahannya tipis.kancingnya baru 2x di buka sdh copot,5
"warnanya tidak sesuai dengan yang saya pesan,pesan warna ungu yang datang kok warna ping,,saya sangat tidak suka warna ping.
",5
bagus,5
