review,rating
"thank you tasnya bgus"" smua",5
mantap..recomended seller,5
pokoknya sesuai the best buat tokonya ,5
"real pict , ada resletingnya, bagus , murah , pengiriman cepat , seller ramah , kurir ramah , thanks lazada ❤️ terbaik memang 🌹",5
"makasih barang sya sudah terima.. amanah bngt toko ini, barang nya gk ad duit nya di sisi kan di barang saya. senang bngt deh. next order lagi poko nya. ",5
👍👍👍👍👍,5
bagusssssssss,5
"Alhamdulillah, barang diterima dgan rapi, sesuai pesanan, pokoknya tOp dach",5
bagus bangett,5
"bagus realpict
",5
pelanggan ku syuka..  sesuai harga  👍👍,5
sesuai harga 👌,4
ya biasa aja. ,3
bagus ga ada yg kurang jadi ga perlu komen,5
"barang bagus , bahan bagus , cmn masalah pengirimannya agak lama",5
"beberapa kali pesan,,, masih OK!!! smg akan selalu OK dan amanah. sukses selalu 
kurir okeh jugak👍",5
Good,5
mantappp,5
bgusss,5
biar bintang yg berbicara,5
sangat memuaskan😍😍🙏🙏🙏🙏🙏,5
"Kecewa banget, ukurannya ga sesuai dgn yg tertera pada gambar😔😔😔
",1
bagus sesuai gambar,5
suka suka,5
👍,5
ok,5
sip,5
bagus,5
ok,5
