review,rating
"tanks Lazada...  barangnya sesuai dgn gambar...
smga sukses slalu Lazada... ",3
ternyata kecil. harga ga boong. suara air mendidih ya kaya mau ada pesawat lewat  😁,5
"oke  terima kasih,,, teko listrik nya sudah sampai. 
mudah mudahan awet. ",5
mantap semoga awet,5
"barang sudah sampai
ternyata ga bisa di lepas bawah nya...
kurir nya yg biasa nganter
thanks lazada...",5
terimakasih barang sampai ..lumayan lah sesuai dgn harga,5
"Alhamdulillah paketnya sudah sampai mudah²n awet,ternyata kurirnya adalah suaminya temen adikku..

terima kasih lazada",4
Bagusssssss 😍😍😍😍,5
mantab jiwa nokendala wokehlah,5
mf Bru kasih ulasan.barang nya udah sampe bagus nyala lagi.mksih lazada...,5
puas....bagus barangnya,5
👍👍👍👍👍👍👍👍👍👍👍👍👍,4
"barang memuaskan. ssuai dngn yg saya psan
v sayang nya, kurir nya meminta harga LBH...
harga pket nya 42000 v pas d anter k rmh malah LBH dri harga segitu",4
sesuai keinginan dan pesanan ....terima ksih lazada atas Barangnya sdh saya pakai n berguna juga walaupun kabelnya ada yg copot,5
  Ada yg kurang .. pegangan nya manaa.,1
bawahnya pecah. cukup sekali aja belanja nya. ,1
makasihhh lazada brg bgus oke... jdi klw habs gas org tua saya masi Bisa Masak Air buat ngopi ,5
barang ya bagus hidup ,5
"tukang kurir gimana sihh, bisa pecah bagian bawah nya. ",1
"baguus


",5
Berfungsi dengan baik .. 👍👍,5
"Alhamdulillah barangnya udah sampe dan semuanya mulus,,",5
barang bagus sesuai pesanan..TPI pengirimann lamaa...,5
relpick...sy suka mksh lazada ,4
saya pesen satu yg datang 2,5
"Makasih lazada barang nya pas,,, bagusss sesuai gambar,,, tapi sayang pengirimannya lama",5
barangnya bagus ku puas dgn pelayanan lazada..mksh lazada🙏🙏,5
pengirimn lama,5
sya pesan tgl 22 dtang nya tgl 4 kurang lama,5
Mantul ku suka 👍👍👍tq lazada,5
bagus puas banget,5
Barang sudah sampai,5
bgus,4
mntull,5
okee,5
Ok,5
