review,rating
"Terimakasih Lazada, barangnya mantap👍👍👍",5
barangnya datang cepat. mulus. GA cacat. cuma tutupnya GA kerat yak. kendor dan gampang terbuka..,5
"paket dh sampe..pengiriman ny cpt bgt.
kmaren.pesan sehari lngsung sampe 
mksih seller,lszada dn abng kurirny..👍👍🙏
",5
"macih paket udeh sampe,bagus juga buat harga segitu, masih buat Abang kurirye, macihhh juga buat Lazada 👍🏻👍🏻👍🏻👍🏻",5
 kecil bgt ternyata😣😣,3
"Pas buat anak gadis dikamar supaya ga berantakan
Terimakasih banyak yaa 🙏 🙏
Respon penjual sangat baik
Pengiriman cepat
Barang so good 👍 👍 ",5
"Makasih barang sudah sampai, bagus sesui gambar",5
sesuai dgn pict nya,5
brang bgus real pick,5
"ok kecil"" cabe rawit say suka ok.",5
nice,5
"nice, sesuai harga",5
baru saya pasang di mobil saya yah lumayan ok walupun nunggin nyh lama😊,5
mksh ladza brng nya bgus penjualnya ramah kurir nya udh langganan,5
"produk bagus, pengiriman cepat, kurir ramah.",5
"produknya bagus, gaada cacat. terbaik sih ini",5
tutup nya belah,5
Psen tgl 13 ...tgl 14 udh nympk..  👍👍👍,5
"Sudah sampai, trima kasih..",5
"sudah sampai, memuaskan barang sesuai pesanan",5
makasih barang nya udah nyampe.kirain gde gk sesuai di gambar kecil bgt,5
pengiriman cepat... pengemasan aman...oke deh pokoknya 😉,5
bagus,5
Lama banget nyampenya. barang mahal diongkir 2x lipat .,5
lumayan buat kamar ,5
sesuai gambar🙏,5
barang sdh di terima.... 👍👍 semoga awet,5
"bagus, sesuai pesanan👍",5
"alhamdulilah barang sesuai diskripsi,  cuman tutupnya agak kurang kencng aja,
pngriman, tpat waktu,",5
BRG ok.kurir ok...,5
"bagus👍sesuai ekspektasi..
",5
bagus ada karpetnya,5
Real pick....😊😊😊😊,5
Baguuuussssssssssss bgt... Sesuai banget,5
barang bagus .. mantap dach,5
Terimakasih Lazada dan seller barang sudah diterima dan sesuai dengan gambar.,5
sesuai gambar mantap tp kecil banget,5
Mantap Sesuai pesanan,5
bagus.....sesuai d photo...mksh lazada,5
tempat sampah nya mungil imut lucu Dan bagus ,5
"Kcil bgett
Tp lmyannlh ..pngmsan jg rp g ad yg pcah trim lzd",5
barangnya ok bingit. 👍,5
harga murmer.. barang bagus.. packing rapih + free buble wrap,5
haha... dikira besar ya udah tak buat celengan aja deh 😁bagus bagus,3
"Barangnya bagus...Terimakasih buat lazada dan pak pengirim brg...semua di bungkus dgn rapi sehingga tdk ada barang yg retak...👍👍👍👍👍👍👍 pokoknya suka deeh..cocok dgn wrn mobilnya...👍👍👍 mohon dipertahankan ya buat toko shinpo buat pelayanan dan pengiriman brg yg super bagus skli....
",5
Trima kasih Seller... Paket telah diterima dalam kondisi baik. Kurirnya pun ramah dan baik 👍🙏,5
mantap. .thnks ea. .😚,5
bagus,5
"Sesuai pesanan
Mungil
Tq seller ",4
"pengiriman super lemoooot,ternyata ukuranx keciiiil",2
"kirain Gde Trnya Cekil
nysele Bangt",1
bagus,5
bagus,5
Cucok,5
bagusss,5
bagus,5
Mantap,5
mantap,5
bagus Dan sesuai,5
"bagus sesuai harga 
mungil ",5
"barang bagus,,maksih seller dan Lazada 😊",5
allhamdulillah barang nya bagus tapi gx bisa ditutup,5
mantap barangnya sesuai pesanan. ,5
Lumayan lach dengan harga segitu...manntttaabb kurir nya jg manttaaabbbb,5
tutupnya kendor,3
"mf bru ngasih ulasan 
barang bagus saya sangat suka thank semoga jadi berkah ",4
Mantaaaaaab,4
good produk and delivery,4
lumayan.sesuai harga,4
Tutupny pecah aku mnt dganti ya,5
"barang biasa aja, sesuai harga",4
bagussss,5
bagus,5
biasa aja,3
Mantulll,5
