review,rating
Alhmdulillah yg d tungguh2 akhirnya dtang jga walaupun lama dtangnya.. yg pnting anak q suka.. thx y.. ,4
"ALHAMDULILLAH PRODUKNYA BAGUS YANG ARISAN SUKA BANGET POKONYA MAU ARISAN SEMUANYA NGAMBIL DISINI GA DITEMPAT LAIN,MURAH DAN BERKUALITAS PRODUKNYA Thanks ya adzkia dan lazada",5
"tidak sesuai pesanan..minta nama farid&faiz tapi malah dikasih nama andika
tdk ada tanggungjwbnya sm sekali dichat ga ada blzan..",1
Kualitas y bgs tp....... Ko pedek xxxxx,5
bagus alhamdulillah yg kredit suka. tipis sih tp sesuailah dengan harga.. saya udah chat seller minta nomer wa dg tuk pesan berikutnya lg. kalo lewat lazada lama di ninja ekspresnya,5
"terima kasih banyak kiriman sudah nympe,yaaa walau dtang'y sangat terlambt",5
alhamdulillah gak pernah kecewa blnja d toko ini udah beberapa kali juga..... ,5
"bagus, real pict
tp sayang sya pesan pke nama, pas datang gk ada namanya, tp gpp barangnya sesuai dengan harganya",4
makasi bagus sesuai pesanan,5
alhamdulillah....  sofabed nya dah sampe...  bagus anak2 suka... jahitan nya rapi...... ,5
gimana sih minta ijo alpukat ijo daun dikasih ijo lumut... mana namanya nggak ada ini kan pesanan org mau dijual. mana lama nunggu nya 1 bulan ba%u sampai ini malah kecewa. gimana nich kalau yg belu nggak mau. rugi lah,2
alhamdullilah...wlwpn lm tp dtgny ...dan warna sofabedny sesuai dgn pesanan ...cm jahitany tdk rapi bnyk sisa2 benangny dan ketebalany tdk 9 cm ternyata cm 3 cm ...,2
"Alhamdulillah  seler dan kurir hebaaat fast respom dan service uar biasa, produk jg baguuuss, lebaran meja ku punya kasur baru dech..SAYAMG TEPAL TAK SESUAI DEKRIPSI DIBERALASE,CUMA 3 CM.... 

trims seler,trims LAZADA .
Lazada juga kerren tak mengirim by JNE yg berkali MERUSAK PAKET saya dg MELOBANGI gak cuma sekali... apa yg diihat ya ",5
bagus jempol an,5
cukup memuaskan,5
sesuai permintaan .. ,5
selalu puassss,5
realpict sih..tapi sayang😔orang mintanya sofabed dikirimnya karpet🧐tapi gpplah makasih😉,4
sangat tidak sesuai deskripsi.!!!!..bulunya rontok ...tipis...pengiriman lama.... ..tidak recomend...!!!,2
mf kk baru kasih ulasan..mksh good produck,5
Bagusss👍👍👍 terima kasih ya,5
bagus banget . cuma saya pesan pake nama . setelah dibuka gak ada namanya .,5
mksh..sesuai foto.bagus bgt....,5
pesanan tidak sesuai dengan...yang dipesan....pesanan sofa bed...to setelah dibuka...ternyata karpet bulu...😵😵😵,5
Sangat suka,5
Gk sesuai gambar yh dtg buruk kali,1
Bagus sih lmbut bgt. Tp knp punya sy g d ksh nm? Pdhl udah sy tulis d kolom alamat. Truz kurir nya msh baru. Smpe nyasar sgla,4
"Seller nya ramah, fast respon juga... karpetnya bagus... sesuai gambarnya, semoga awet... minus pengirimannya aja yaa, agak lama.. selebihnya OKE... ",5
makasi ya ka adzkiya memang👍👍👍,5
"G bgs sarungnya kegedean aplg guling nya bisa nya dkt Jd nya longgar jeleeek bgt,,,sgt kecewa
",5
ad yg rijek sdkt di gambar doraemon nya,3
"Mudah terbuka jahitannya, tipis, 9,5 cm kalo dilipat 3",3
bahan nya lembut bagus cm kirimx agak lama makasih lazada,5
Sofa bed nya bulu nya mudah rontok..dan kurang lembut..,5
bagus kasurnya 😍,5
alhamdulilah datang juga produk oke sesuai harganya...bagus,5
tidak sesuai pesanan,5
