review,rating
"Mksh lazada n toko,,,, real pick... Packing rapiii,,, barang mulus n selamat... 😘😘😘d krmnya jg cpt banget.. Cm 2hri sampe... ",5
"allahmdulilah pket uda smpai dlm keadaan bagus timbangan makasi sellernya y, barang ori ok. kurirnya baik puas belanja dilazada. ok mantap👍👍👍",5
"Barang realpict
Kurir ramah
Datang nya terlalu cepat 🤣🤣🤣👍🏽👍🏽👍🏽",5
Sesuai pesanan 👍👍👍🙏,5
"Ini gimana sch yg teliti donk, PSN yg 3 kg, knp yg di krm yg 2 kg, emg klw brng nya kosong konfirmasi dulu,mana ini pesenan orang ",3
"Tidak sesuai dengan ekspektasi.. jarumnya mudah bergeser sehingga tingkat keakuratannya kurang. Apakah bisa ditukar? Karena saya punya juga timbangan dapur lion star uk. 3 kg tp jarumnya ok, tidak mudah bergeser.  ",5
"Maaf telat...barang pesananya udah nyampe,barang real pic saya suka ,kurirnya juga ramah,barang di bungkus dgn rapi.makasih lazada",5
"barang bagus,tp g bisa diatur sllalu elor🤨🤨",5
"Toko ini penipuaan. Saya pesan 2.yang datang.1
Hati2 sama toko ini",1
sesuai gambar.. 👍👍👍👍,5
timbangannya bagus berfungsi dengan baik,5
"alhamdulillah, brgnya udh nyampe , baguuussss ,kurir ramah",5
alhamdulillah barang nya ..udh smp dengan slmt juga mksih lazada juga kurir nya ,5
maaf baru ngasih ulasan...Realpict..Kondisi baguuss..mkasiiihh ,5
Kondisi barang baik,5
"packing rapi,barang kondisi bagus😚
",5
Mantul sesuai pesanan dn sesuai gambar. ,5
timbangannya ok banget makasih lazada,5
packing rapi pengiriman agak lambat! seller nya baik thanks Lazada!,5
"terimakasih banyak paket nya udah sampai dengan baik,semua ok..saya sukaaaa...😍😍😍😍😍😍😍😍😍",5
Bagus sesuai harga paking rapi aman...mantaap,5
bagus banget datang sampai rumah gak ada ya retak makasih buat seller nya dan makasih lazada,5
kualitas original,5
"barangnya bagus,kurirnya ramah/baik/sopan..makasih",3
👍,5
