review,rating
sesuai deskripsi...msntul...makasih.,5
"pengiriman cepat, packing bagus dengan kardus dan kokoh, belum di coba untuk tintanya seperti bagus",5
makasih pesenam sudah smpe,5
Ok banget. Cepet juga pengiriman nya. ,5
"Barang Sudah Sampai,Pengiriman Tepat Waktu",5
Produk ok pengirimam cepat seller respon ok thanks,5
"barang sesuai gbr,oke,cepat,packing rapi.",5
Bagus,5
sudah diterima dg lengkap makasih,5
yg warna kurang rapih jd tintanya belepotan,4
barang sesuai pesanan. bagus,5
makasih seller sudah respon dengan baik,5
