review,rating
beda motif yg saya pesan dahulunya jadinya beda satu hordeng...,5
"sadis amt si dgngny pacingny d bngkus kresek,pas d buka gk ssuai dgn yg d psanan dr warna ukuran gk ssuai.ni ma pas tu keset kaki.....klu dgng yg bnr donk...mkn tu uang hramny...klu tu abng kurir ramah abis da langgann sih... ",1
Ternyata gorden nya gx muat di jendela aq.. Kekecilan.. 😞 akhirnya aq pake buat tutup lemari yg gx ada pintunya... ,2
"Alhamdulillah sudah smpai,pengiriman cepat,cuman warnanya ini agak gelap dri yg prn sya Order sebelumnya jadi beda warna nya deehh...muda²han pelangganku suka",5
Bagus....pesen lagi pelanggan ku pada suka,5
"maf bru kasih ulasan.. kurir nya sudah akrab.. dtang nya cpat.. packing nya rapi.. daannnn gorden nya sangaatttt bgauss.. mkasihh seller lazada.. 
alhmdulilahh slma blnja dilazada blom pernah kecewaa.. perthan kann trs.. smngatt.. lncarr trss.. ",5
"trimakasih sudah sampai hordengnya , tebel kain nya , tpi sepertinya harus pesan lg saya  jendelanya terlalu lebar....jd kurang...
buat mas kurir trimakasih semoga sehat selalu karena ngantar hujan2nan terus
",5
"gorden pas sama jendela bahan nya juga bagus, pengiriman tidak terlalu lama, terima kasih lazada😉😉😉",5
gorden nya bagus bgd gambar nya sesuai orderan ukuran nya pas lgi di jendela aku puasss bgd makasi ya seler nd lazada kurir nya juga ramah,5
"maaf baru kasih ulsan,barang nya bagus sesuai pesanan,bahan nya juga oke,kurir nya juga ramah, pokok nya gak ngecewain,makasih yah kakak",5
"g sesuai SM yg di gambar SM warna y gmn ?""""",5
"paketnya udah sampai, pesanan sesuai pesanan bagus suka, packing lmyan rapih, pengiriman cepat, respon seller baik, kurir jg baik recomend blnja disini ,mkasih Lazada & seller... ",5
"Hordeng sudah sampai, sesuai dengan harga, hanya saja kurang lebar😂tapi gapapa bagus ko hehehe terima kasih😍",5
Alhamdulilah makasih Lazada aku puas hordeng jendela ny v agak dikit kecewa kurang panjang untuk jendela rmh ku  aku ksih 3 bntng ajh,3
Ka saya pesen tpi ko udah diterima yah tpi saya blm ngerasa ngambil barang,1
"oke barangnya bagus tidak kecewa...puas...cuma sayang lama pengiriman nya...tapi gak apa"" lah yg penting bagus barangnya",5
"barang sudah sampai, dan real pict, cuma kecil bgt ya, kirain agak lebar , tapi ok lah, kurir udah langganan terimakasih",5
Terima kasih  y  mbak bahanny oc sesuai  sama  hargany tapi tidak bisa  di  gunakan lebarny beda2 bahkan ada yg lbih  kecil lagi ,3
maksih ya next order lagi 😀,5
"Sangat sangat memuaskan,pengiriman juga cepat,respon cepat.terima Kasih seller dan terima Kasih Lazada..... ",5
"Ngan.nya bagus tpi cma kurang lebar
Nya aja.. tpi yg saya suka dari toko ini amanah.nya saya pesen keropi d kirim keropi ga salah mksih yah semoga sllu amanah bnyak pelanggan.nya Aamiin..
Kurir.nya mantap baik dan ramah",5
aku sukaaa..hordeng nya baguuss bahan nya lembut..dengan harga segitu puas deh😍,5
"Bahan'ny jegjreg bgt, tp simbang untuk harga segitu",5
"Alhamdulillah pengiriman cepat, Barang Sesuai Harga...",5
bagus ..buat kurur udah langganan,5
oke bgt hordeng'y....sesuai gambar... thenk's... pertahanan semoga laris...,5
barang nya bagus sesuai pesanan ,5
barang dah smpe bagus sesuai pesanan mksh Lazada,5
bagus hordengnya mantap,5
pesan keropi dateng nya helokiti..gmn seeeehhh..,5
tekyu lazada bagus sesuai dngn harga segitu ,5
"mksih udh smpe nih
sesuai ukurannya
penjualnya amanah nih",5
