review,rating
belm ada perubahan,5
harga barang disini 18 ribu saya ngmbil 7 biji + 18 ribu ongkir total 144 ribu setelah paket saya terima  disuruh bayar 162 ribu apaan pedagang ny tidak JUJUR . KECEWA SEKALI .,1
"Real pict sayang nya aku salah baca aku kira 60ml tuh gede ternyata kecil tapi gpp lah next order lagi yang 100 ml , untuk mas kurir nya makasih banyak udh nganterin paket aku dengan selamat ",5
sya pesan yang 100ml kenapa yang dateng 60ml,5
barang udah nyampe makasih saller and lazadanya,5
👍👍👍👍,5
👍,5
baguussss,5
"mksh lazada,,,next order lg 🙏🙏",5
semoga cocok,4
Udah langgana....,5
"mudah3 cocok,,,😍",5
"Kualitas oke segel rapi mudah""n cocok kak ☺",5
barang udh sampai lebih cepat dan brangnya d.terima dengan kondisi baik ,5
Beda sma yg lg aku pakai ,5
"Bagus,kulir ramah😊😊",5
Sesuai pesanan😍,5
ok..realpict gmbary tp g tau ori pa g,5
"Alhmdllah barang sesuai pesanan
Tmksh. Tmksh jg jasa kulirnya ",5
Semoga cocok,5
"packing rapih, semoga aku cocok pakenya.. kurir juga ramah, makasih lazada😊",5
👍👍👍❤️❤️❤️,5
barangnya okk...,5
wangii lemonn,5
tonernya segerr,5
Barang sudah sampai Kurir jg ramah... Mksh semua,5
udah Langganan dong alhamdulilah cus aku juga pda cocok... ,5
mba pas dateng barang yh koq toner yh dpet satu doang sh😏,5
bagus..barang original sesuai dan tepat waktu..pokonya puas,5
thanks...👍🙏,5
udah smpe paket nya rapi kurirnya ramah terimakasih lazada..,5
"Pengiriman cepat, skarang mesen bsok kirim",5
OK ,5
ok bgt,5
sesuai,4
😘😘😘😘😘,5
real pic,5
mantul,5
