review,rating
"Sesuai pesanan saya..... 
Makasih seler amah kurirnya.... ",5
"sesuai pesanan saya.... 
manttttap...... ",5
mantull.....,5
Bahanya tebal dan lembut,5
"ok.... 
mantttttap.... ",5
"ok.... 
mantttttap.... ",5
"barang da nyampe....
makasi lazada",5
mantul abis,5
kurirnya ramah..... ,5
kurirnya ramah..... ,5
sangat memuaskan ,5
Sangat memuaskan.... ,5
pokok nya amat bagus,5
barangnya sesuai ama yg di gambar makasih.... ,5
mantul abis mkasih lazada,5
Barang da nyampe realpic pas yg saya pesan mksih lazada..... ,5
"barang da nyampe ok... 
sesuai pesanan saya makasi lazada",5
seleranya ramah kurir nya juga ramah makasi.....,5
makasih lazada,5
barang nya bagus sesuai pesanan saya ok....,5
realpic makasi lazada,5
mantul sesuai pesanan,5
bagus makasi,5
makasi lazada,5
mantap.....,5
makasi barang da nyampe,5
mantappppp.......,5
jangan ragu belanja di toko ini,5
makasi lazada,5
realpic sesuai pesanan saya,5
memuaskan,5
realpic,5
bagus amat,5
mantap,5
ok.....,5
mantappppp,5
realpic,5
bagus amat,5
realpik,5
mantap...,5
