review,rating
mksi bos plisket by rapih dan barang nya bagus ..pokok nya ga kecewa deh belanja d sini..mksi Lazada dan seler by..👍👍,5
baru kali ini belanja tunik sebagus ini...dapat harga murah ..beli banyak jg ga kecewa jdi ny.....kualitas oke banget....🌞🌞🌞🌞,5
bagus banget...alhamdulilah....mama aq suka ...mksi Lazada....🤭👍,5
bguss bnget gess ,5
alhamdulillah...bajunya bagus semua(pesan 5 random)modelnya juga sesuai gambar..saya kasih bintang 5 utk seller trims selalu jaga amanah,5
Barang nya sudh sampai🤗,5
"ini tokoh tidak dapat di percaya kita pesan 4 pcs semua lain warna, pas datang pesanaan warna nya sama semua, gimana ini tokoh si, niat jualan apa ngak, jelas2 sebelum saya transfer saya tanya dulu apa semua wanrna ada? kalau memang ada kenapa di barang di kirim tidak sesuai dng warna pesanan, kecewa
",5
"z pesan 4 tp bajux satu ada bolong seperti bekas kena roko, n satu lagi warnax beda yg z pesan pink muda yg datang hijau gelap
bahanx ya sesuai hrga tp ko modelx beda2 yaa..",1
"Kalau jualan yang amanah dong,massa real pictnya itu buat orang dewasa tapi yg datang malah untuk anak anak.gimana sih itu sama aja nipu baru kali ini saya belanja di lazada sangatt kecewa padahal ini lagi bulan puasa.akhirnya bajunya gk kepake kan karna tangannya aja kecil sekali tidak muat untuk anak anak juga
Kalau saya minta tukar bisa gk?",5
pesan ukuram Xl dikirim M ... jauh bgt lah ukurannya gk muat .. saya pesan 5pcs tapi gk bs dipakai...  padahal proses prngiriman dan penangan cepat tp produk yg dikirim gk sesuai .. tolong lebih diperhatilan saat proses pengemasan biar gk trjdi kesalahan lg dlm pengiriman produk. makasih,1
"alhamdulilah bajuna bagus sm dgn di gambar , kurirnya biasa ramah  trimakasih lazada , tokonya amanah 👍👍👍",5
paketny cepet bgt sampe. bajunya jg bagus bgt walaj dgn harga yg murah. cuman bahan sedikit nerawang. tp gapapa bagus kok. makasii.,5
"mamah saya suka barang y nyaman dipake
",5
"di gambar warna nya ijo botol yang datang ijo army bener2 gak bisa di percaya toko ini.. sumpah nyesel banget,kita protes gak ada respon sama sekali 😈",1
Pesen ungu di kasih abu2.. Yang jual kiler,1
👍👍👍👍👍👍👍👍👍👍👍,5
"sesuai hrg,tpi klonga ada wrna tlong jgn ksih warna laen yaa,hrusnya konfirmasi dulu jgn asal kirim ga sesuai wrna",5
Pesaan apa yg dkirim apa,3
paket ny ud dtng maaf bru ngasih ulasan soal ny bru d buka paket ny kl untuk hrg sgtu lmyan lah bagus trmksih lazada,5
"Barangnya lumayan lah harga segitu mah,,cuma saya kecewa sm warna pesen 1 pink yg 1 maroon eeh yg datang pink semua",3
"alhamdulillah barang sudah sampai, sesuai pesanan, tidak ada cacat dan muat diaku yg gemuk bb 100 tb 165 bahkan pas dipakai perut terlihat rata padahal rata2 lemak hahahaaa.. pokoknya puas thx..",5
puas belanja di lazada.bagus lah untuk barang dengan harga segitu.kurir nya juga oke.thank's ya lazada,5
"maaf telat kasih ulasan, paket nya dah sampai dan sesuai gambar, bagus, makasi nya buat toko ana lazada nya and buat abang kurir nya juga",5
makasih paketnya dah datang 2 hari kemarin..baju nya cukup bagus gak ngecewain semoga ada keberkahan untuk penjual dan pembeli Amiin,5
"saya pesan 7pcs, cuma ada 4pcs dlm paket
kmn 3pcs lagi

saya tambahin bintangnya, soalnya seller tanggung jawab
cuma tetep salah ukuran dan warna
3pcs warna hijau semua
2pcs untuk anak² minta ukuran XL, dikirim ukuran S",3
"mendarat dengan selamat paketannya,  bahan nya sesuai lah dgn harga nya
cuman syg ada yg lobang di bagian tgn,  tp gapapa lobang nya kecil bisa di benahi",5
Kecewa banget aku pesen warna maroon yg dateng ungu.. Aku pesen ukuran xxl yg dateng xl.. Mana lama banget pengiriman ny,1
Bahan bagus cuma sama sy agak ngatung sedikit. Dah ukuran xxl nya kecil seperti uk. M. Tp ngga apa2 bagus juga kok. Thx seller,5
"brang nya bagus tp tolong ya de kalau jualan hati di warna masa ga bisa bedKan warna mana kopi susu ama..sama kuning buruk..kami beli buat jual lagi
",3
ada noda  di bajunya ,3
top deh .😁😁,5
real pict ...kualitas baik....mantap lah bisa dapat  harga murah,5
Alhmdulilah barang bgus  sesuai warna pengepangan jg bagus kulirnnya jg baik makasih lazada.....,5
baju nya dah sampe bagus banget ko walau dgn harga sgt...pas di pake kk aku jadi pada mau...,5
"pesen barang warna merah .kok datang ny malah warna hitam...sudah datang nya lama lgi..
",5
barang sudah sampe.. sesuai dgn pesenan... packing ok.. trims Lazada....,5
bagus banget mamah ku suka. selernya baik banget 💓,5
bagus bagus,5
beli gamis di ksh rok plisket,5
Barang sudah sampai dengan selamat dan packing rapih,5
"baju ya besar banagat
",5
bagus banget sampai lupa kasih foto,5
🥰🥰🥰🥰🥰🥰,4
minta campur warna nya .malah dikirim biru semua 5pcs susah jadi nya buat jual lagi,3
trimakasih barang nyah dah nyampe dan pengiriman cepat,5
baju nya bagus maya lah harga sgt mah...,5
pelangganku suka....,5
Sesuai lah dgn harga ya,1
"Real pick, sy suka",4
bagus  sy suka,5
bajunya kekecilan ,5
"maaf baru kasih ulasan pokonya semua bagus mksh semuanya ,🙏🙏🙏",5
"warna bajunya sesuai , bahannya juga lumayan realpict bajunya.",4
"model nya lumayan sesuai harga,kirim cepat
trims
",3
paket ny lama banget 😒,3
maaf baru ngulas baju nya bagusss kurir nya langganan makasih,5
"Barang udah datang kak, real pict makasih kak 🙏",5
Kecewa bju nya ngatung,5
cakeppp cocok ,5
Alhamdulillah barangnya udah sampai untuk harga segitu ya sesuailah dgn barangnya mksh lazada 🙏🏻,5
barang dah keterima tapi ukuran nya ga sesuai besar..,5
Kurir nya malas,5
bahan y tipis,4
"embrekkk.. mantulll manjiw.. 
",5
pokonya cakep dah,5
paketnya dah sampe maap br bs ksh ulasan bjnya lumayanlah sesuai dgn harganya mks lzd,5
Brngnya sangat oke dan amanah mksh lazada kurirnya dh langganan ,5
"lumayan harga segitu


",4
pesen warna abu2 grey dateng nya hitam omg hello... ya udalah mau gi mana lagi ,2
cocok buat di mamah,5
bajunya bagus cocok,5
"barang sudah diterima , bahannya tipis so gpp dgn harga segitu .makasih ",5
sesuai gambar,5
"Bahan lmyn sesuai pict istri suka, mksh lazada",5
"Kecewa,baju nya tipis bgt......",5
bajunya bagus,5
"Barang bagus,sipp..
",5
kurang puas bahan seperti puring tipis,2
baju nya baguss sy suka,4
barangnya tipis bgt... minta rok wrna abu dikirim maroon 🤨,2
"Alhamdulillah udah sampai dgn selamat walau rada lama,lumayan bagus utk harga segitu",5
mantap ka bajunya muat di aqu... 😘😘😘😘😘,5
Lumayan la buat sehari hari ma...,5
realpict suka ,5
Alhamdulillah barangnya dah sampai makasih banyak  ka n kurir lazada jga ramah🙏,5
barangnya udah nyampe dan bagus,5
"lmyn lah sesuai dgn harga,meskipun kpnjngan dan kegedean tp baguss sih",5
Bajunya ko gitu ..ya iyayaa orang harganya juga segitu   tidak sama dngn modelnya ,5
Barang oke...cuma agak kegedean d aqoh,5
Ok sesuai harga bahan tipis,5
barang nya blom keterima tapi di keterangan udah di terima..gimna nich? ?,5
tipis banget,4
real pict...,5
"alhamdulillah udah sy terima, terimakasih, warna pas, cuma agak kegedean sedikit...
",5
sesuai harga bahannya tipis..,3
kalau yg ini persis yg saya minta tapi kainnya tak memuaskan,5
"ka ko mnta wrna coklat d kirim wrna kuning tua gmna c,,kecewa jd nya",3
Alhamdulillah beli 3 cocok semua pesanannya,5
"sesuai harga, katanya panjang 140 ternyata cm 135.",4
sesuai tapi agak kecewa,5
brang lumyan bagus terima kasih lazada,5
lumayan bagus,5
"Maap baru ngsh ulasan, barang bgus sesuai dengn harga,,kemasn rapih",5
sesuai lah sama harga nya,5
"beli gamis kirim tunik, Iki pie?",3
sdikit kgdean,5
"t.o.p
",5
"realpict
",5
😊,5
Good,5
bagus ,5
kebesaran,3
suka bngt,5
Mantap,5
