review,rating
"Pengiriman Super Cepat 14 malam order 15 malam nyampe tvnya, suara bagus, gambar bagus cuma Sepertinya nyala lampu LED ngak rata akan jelas terlihat saat warna putih. kalau video cuma di ujung kanan dan kiri atas yg jelas lebih gelap. ini memang begini atau TV yg saya Terima problem",4
"Sudah terima tapi kondisinya rusak ketika sampai di Bali. Kemungkinan karena pengiriman. Bazel ada celah dengan LED dan tidak rata, LED banyak belang-belang yang terlihat jelas. Handle complain bagus cuma terlalu lama sebetulnya pengiriman replacement TVnya. Review akan diperbaiki ke peringkat lebih bagus setelah ada penggantian unit dan sesuai dengan kondisi yang dijanjikan. Semoga pada saat yang bersamaan juga dikirimkan TV 24 inch sebagai bonusnya.

Sudah dikirimkan unit penggantinya dan tv bonusnya. Komplain pembeli dilayani dengan baik dan CS responsif handlenya.",5
Alhamdulillah bagus tv nya datangnya cepat mudah mudahan awet dan tahan lama di tunggu hadih Tv thanks Lazada........,5
mantuuuul barangnya dh sampe sampai tujuan😘,5
Bagus bisa mirroring PC dan HP,5
"Terima kasih atas pengiriman Lazada yg cepat dan hati2, TV pesanan saya 65 inch sampai di rumah tanpa lecet maupun cacat. Dan juga terimakasih atas promo diskon dan hadiah TV led 24inch, walaupun belum saya terima, katanya 2 minggu setelah pengiriman pertama. Produk Changhong sangat bagus dan berkualitas, dengan harga yang sangat terjangkau. Kualitas gambar tajam dan warna tajam, berkat teknologi layar 4 K, HDR 10, HLG, Dolby Vision. Suara TV juga bagus dan cukup kuat. Tidak usah diragukan produk Changhong, dan sudah ada layanan service di seluruh kota di Indonesia.",5
"Pengiriman lebih cepat dr prediksi, packaging OK, aman.. seller fast response.  Barang Ok.. OK banget in general.  Bonus another TV, akan dikirim 2 minggu kemudian, semoga sesuai yg dijanjikan yah... makasih seller 👍🙏",5
"Barang diterima dengan baik, 
Delivey time lebih cepat dari estimasi, qualitas bagus, respon seller cepat, packing kayu rapi dan bagus.. secara over all quality sesuai harga..

Sekarang tunggu Free TV 24 IN nya..
tx Lazada..",5
"pengiriman sesuai estimasi dan aman. Bezel lumayan walau lebih cocok hitam. Gambar ok, lama kelamaan menyesuaikan awalnya terlalu putih. nunggu panas dulu kali ya. google talknya sangat responsif. pakai hotspot dari android lancar. hanya aplikasi play storenya tidak sebanyak di hp. Dengan harga segitu puas deh. ditunggu bonus tv-nya. semoga minimal 32"" ya. syukur² kalau 65"" juga. hahaha.. trims lazada dan changhong.",5
"Secara fungsi dan fitur the best banget TVnya bisa mirroring dr android, ios, macbook gampang banget, udah android, bisa pake kabel LAN juga mantap sih fiturnya puass. Gambarnya bagus suaranya lumayan. Cuman sayang remot bawaan blm ad micnya utk google assisstant.

Dari build quality standar lah memang bezelnya kliatan kl dr deket sperti alumunium murah dan dia kurang rapat ke lednya tapi kl d lihat dr jauh kesan elegan masih dapet

Untuk bonus puas juga dapet lagi TV 32inc free dan diskon 500rb udah gt gratis ongkir. Untungnya banyak. Kalo d totalin mgkn bsa 2.5jutaan bonusnya

Dari sisi support juga oke banget CSnya fast respon walopun d chat jam 1 malem wkwkwk. Dia baik juga mau d mintain poto port blkg TVnya mantap min good service. Pengiriman juga cepet langsung order lgsg kirim. Ditanyain apa aja jawab csnya.

So far puassss udah 4K gilaa, lagi nunggu remot yg ada micnya rilis januari besok. Thanks changhong

",5
barang sampai dengan selamat dan aman. tp ada lecet. terima kasih. tinggal menantikan hadiah tv nya. ,5
"Orderan sudah sampai dengan selamat walaupun tidak menggunakan packing kayu seperti orderan sya sebelumnya TV changhong 58inc malah pecah layarnya, padahal sudah safety pakai packing kayu. 
Tinggal menunggu free TV nya. 
####
Untuk review TV nya nanti di update kembali. 
free tv nya sudah d terima dgn baik.
seller sangat baik, semua keluhan di tanggapi.
tv nya juga tidak mengecewakan dan memuaskan krna dpat tv yg besar dengan harga terjangkau.
reproduksi warna dan suara juga lebih baik ga cempreng dan mendekati tv LED yg sudah merk terkenal.",5
"👍👍👍..tv 65"" nya sudah diterima..ditunggu tv gratisnya..",5
"Alhamdulilah Barang 65inch nya diterima tanpa lecet
Hadiah nyadi terima setelah 1 minggu 65inch diterima
barang di packing kayu juga itu saya videoin
Hasil Gambar ga kalah sama TV yg ber merk
suara apalagi
Menunggu remote pintar nya bulan desember baru ada
Ga Nyesel beli di changong
ini ada pembelian ke enam
sering-sering adakan disc yah he he
terima kasih changhong
sukses selalu",5
"Sangat bagus, Lain kali pesan lagi.. Nggak kalah sama yang bermerk lain.. Pelayanan juga sangat memuaskan. Semoga sukses selalu dan semakin banyak wilayah jangkauan servicenya.. ",5
"Barang udh sampai dgn selamat, TOP quality Android Tv, thanks Changhong & thanks Lazada, moga makin jaya",5
"barang sudah diterima, belum sempet dicoba semoga awet.. ditunggu bonus tv 24"" nya",5
barang sudah sampai dengan selamat n cepet untuk gratis tv nya kurang lebih 1 bulan setelah nya sampe makasih canghong tv nya mantep n gratisan nya bner ada n normal sy terima.. ,5
