review,rating
terimakasih Lazada sdh sampai semuanya.....belum dicoba tapi terimakasih untuk Lazadanya juga sellernya..,5
"parah polll
barang di cas
lampu mati
parah poll
kalo jualan yg amanah dong
jgn barang rusak di jual
posisi di cas 
gk nyala
paraaaaahhhh pollll",1
"paketannya dah nyampe.. pokonya mantul dah.. barang nya ccok banget kualitas ok sama kaya di pict the best betle store..
kurirnya subhanalloh ramah banget.. 4 jempol pkonya..
makasih lazada...",5
"The best pokoknya nih product,pengirimanya cepat,tiga hari udah nyampek bali,semoha barangnya awet,dan semoga kalonorder banyak dpt diskon kwkwkkw terima kasih battle store dan terima kasih lazada,the best pokoknya",5
"packingnya bagus, rapi tapi yang dteng gak sesuai ,say pilih merah kenapa dtengnya rainbow😴tapi gak papa bagus juga trimakasih☺️",3
Maksiih lazada barng nya sesuaii gambar brg nya bagus bangettt maksiiih bgtt untk kurir+lazada semoga makin sukses,5
Produk berkualitas sesuai dengan deskripsi. Seller responsif & recommended ⭐⭐⭐⭐⭐,5
ngebol Coy...  ,5
Barang sdh terima... Mantaf,5
ya Lumyan mudah2 awet..,5
"pesan warna merah...datang warna hitam😏
gk apa lah...",3
"Barang sesuai, mantap!",5
Terimakasih barang sudah diterima dengan baik dan sangat bagus,5
Mantap...respon dan pengiriman cepet banget...recomended,5
"Packing rapih, pengiriman cepeet, seller fast respond, recommend seller, thanks yaa",5
barang Top ory... top pokoknya,5
mantuuuul abiiis,5
barang mantap packingnya jga rapi terima kasih semoga ttp konsisten,5
Sangat pus dengn hasil kiriman ny,5
biarkan bintang yang berbicara,5
barang gak bisa di cas ,5
top markotop and ajib sesuai dengan pesanna,5
Thank lazada ,5
hanya bisa dipakai sekali langsung bau gosong.. karna takut meledak saya ga brani pakai lagi. ,2
mantaavv brang 100% original,5
brg drg sesuai gan mksh,5
barang mantap bos,5
mantap ommm gak nyesell,5
"Sangat memuaskan
",5
mana liquind nya...,2
barang good mantul mkasih seler dan lazada terutama kurirnya yg baik hati dan ramah goodddd,5
"allhamdulilah barang enak di palai 
semoga bisa tahan lama sama saya ",5
god god god,5
mantabb produk recommended bgt😂,5
mengecewakan rasanya seperti kertas terbakar sangat kecewa,5
Mantull lahh pokonya sesuai gambar,5
"mesen warna apa di kirim warna beda
",3
mantaap keren,5
mantulll polll,5
"makasih paketnya sudah diterima,makasih lazada",5
mantap barangnya,5
"udah diterima dengan baik, semoga aja awet ya",5
mnataaaap gannn rekomended bgt,5
makasih,5
Juos bos,5
"Recomen
",5
bagus,5
mantap,5
mantap,5
"ntaps
",5
