review,rating
"barang nyampe dengan selamat dapat bonus fan tp kaget paking sobek udah buka driver gak ada, berpikir lg...cara instal gimana. harus kontak penjual lg...deh trus lama lg respon",3
"makasi promonya ,barangnya sudah sampai dengan baik dan performanya mantap sesuai dengan spek 👍",5
"Overall bagus!!
Desain dan performanya ciamik!!
Packingnya rapi!!!
Sellernya joss 10/10! 😘",5
"Sip.... Akhirnya sampai. 
Packing bagus dan rapi....
Barang aman sampai ditujuan. ",5
kualitas asli dan bagus...syg jnenya lama sekali dan sempet gak ad kabar,5
"barang sudah sampai,bagus",5
packing rapih.. pengiriman cepat.. blom d coba.. semoga awet ,5
"mantap, rekomen seller",5
"barang telah dibterima dengan selamat,
mantab.",5
bagus,5
mantapp,5
