review,rating
"barang rusak/hancur dikirim, Sangat kecewa yg gak beres tokonya atau kurir JNE nya, yg jelas bikin Kapok beli lewat lazada baru kali ini aku bener2 kecewa sekali",1
"Barangnya sesuai,,,, tp pusing bangt cara ngrakitnya,,nggk ada panduannya siih,, 
Kirimanya lama bngt,, tp nggk apa2 deh yng penting sampai",4
"barang pesanan tidak sesuai dengan yang digambar, malah yg merk lain dikirim, kecewa saya lihat barang pesanan tidak sama dengan yg digambar, minta warna biru malah merah, lain produk juga yg dikirim bukan TAJIMAKU seperti di iklan penjualan, mohon diperbaiki LAZADA ",5
barang bagus...trima ksih k...puas...👍👍👍👍👍👍👍,5
"barang nya udah sampai,makasih ya lazada sama kurir
",5
alhmdulillah barang ny udah ympe dngn selamat terimakasih bayak..,5
Sneng bngett😊😊,5
"Alhamdulillah dh nympe dg mulus tanpa ada kerusakan,, kualitas barang bagus 👍 kurirnya jg ramah🙂",5
saya puas karena pak kurir ramah dan barang sesuai ,5
"makasih ,paketan udh Sampek, barang nya sesuai relpick, GK ada kerusakan karena paket rapi.. belanja puas .ya belanja d lazada😁",5
bagus barangnya tidak ada yg cacat .. namun harga juga menyesuaikan ..ini ukurannya kcl ya agak pendek dikit,4
barang lumayan bagus tapi baut/mur nya gk bisa dipakai ,3
"kaya barang murahan...
",3
"lumayan sesuai harga tp jok nya tipis bgt
thnks bwt seller, lazada n abang kurir.",3
terima kasih..barangnya sesuai pesanan..dan sangat cocok untuk anak saya☺,5
Barang sudah sayang mksh,5
"ma'af baru kash ulasan 
  barang ya bagus banget 😘😘",5
bagus real pict ngk nyesel beli ni murah tp bagus,5
"terima kasih, bagus barangnya, pengirimannya juga cepat",5
harga memg maxi lumayan dan pengiriman barang cepat sampai. tapi kurang memuaskan sanggahan nya pas d pake my.baby malah ngeploss. akhirnya aku jahit pasang tali.... sungguh kecewa,1
👌✔👍,5
okay,5
Lumayanlah untuk harga segitu,4
