review,rating
mantaaap....👍semoga awet keduanya bagus dan suara jg bersih pokok ya puas....😁😁😁terima-kasih utk penjual dan pihak Lazada.,5
"barang bagus ..
pengiriman rapih
bisa di andalkan...
terimakasih Lazada 🙏..semoga 
lancar dan penuh tanggung jawab.",5
mantap...pengiriman lbh cpt,5
sya kecewa handy talky ny tidak bsa di pakai pada saat sya mau pakai sya cari channel ngk bsa dan harus beli satu lgi baru bsa knapa waktu di gambar ny sm ulasan ny sya tidak di ksih tau harus beli 2 handy talky ny tolong di perhatikan biar konsumen ngk kecewa padahal istri sya suka skali ambil barang di lazada dan tidak prnh ada komen klau barang ny sesuai bsa di pakai terima kasih ,2
barang bagus..sudah di test dengan jarak 2 kilo dengan halangan gedung masih dapat diterima dengan baik.. hanya 1 yang suara nya melengking saat menerima modulasi lawan..yang lainya bagus.. dengan harga murah tapi gak murahan,5
"kecewa banget.. saya pesan yg merek Harve kok malah di boafeng.. 
padahal saya blanja di lazada sering dan bru kali ini saya di buat kecewa",5
barang nya cepat sampai pesan tengah malam tadi dan sampai siang nya dan juga rapih bungkusnya mantap dan saya pesan 1 lagi klo boleh,5
bagus bangedt,5
barang mantab,5
"memberi kesan atas produknya, secara kualitas tak Kalah dg merk yg lain.
sbb msh spech standard sama.
audio modulasi lbh ""utuh"" tdk cempreng (treable).
bisa disebut seimbang dominan bass.
transmit pancaran jg lbh tajam dan radius jelas lbh jauh krn dg Freq UHF.
namun ... msh belum berhasil utk setting menjadi double band , krn msh membutuhkan softwere yg tepat.
secara pribadi kepuasan msh tetap ada , sbb bermanfaat utk dipergunakan dlm giat internal lingkup  terbatas.
pokoknya mantaaabb dan puas atas produk HARVE 888S By Japan.",5
Bagus bgt brngnya mulai dari pengepakan sampai dtg barang rapi dan yg pengantar paketnya ramah dan tepat waktu...pokoknya top bgt deh,5
barangnya berfungsi dengan baik..terimakasih ,4
Pengiriman cepat dan Berfungsi dengan baik... semoga awet.  trimakasih ,5
"good, berfungsi dgn baik, pengiriman cepat",5
"cepat banget responnya,
juga cepat pengirimannya

tengkiw lazada",5
"Mantap pesen 2 unit, sdh sampe..semua fungsi...smoga awet..thnx seller & lazada🙏",5
"barang bagus, respon pedagang baik, pengiriman cepat..sukses ya",5
bagus bos barangnya,5
mantap,5
sdh smpe amuanya.....tks ya,5
"mantab barang sesuai deskripsi
",5
sip bagus sesuai,5
bgus bgt TH HARVE ny .kurir sprty biasa dh langgann,5
mantap  bos,4
barang ok kualitas oke sudah puluham unit aman,5
"keren, mantap, punya mainan baru...🖒",5
Brg nya komplit suara jernih ,5
barang dh sampe bagus makasih lasada,5
barang mulus tapi saya gak kurang paham kalo masih uhv. tapi gpp terima kasih lazada ,5
"sudah kami terima dg baik.. Alhamdulillah alat berfungsi dg baik
",5
"sudah diterima, semoga awet...thanks..",5
sangat bagus mantap,5
barang cepat tiba,5
"👍👍👍biar bintang yg menjawab.... 
siap order lagi nanti.... 👏👏👏👍🙏",5
Barang nya beepungsi dgn baik.. trima ksih mantap ,5
"allhamdulillah 
",5
barang sesuai gambar isi box kumplit.brg cukup baik.pengiriman cepat  ..,5
goof,5
a,5
bagus,5
mantap,5
siiip,5
ok,5
👍,5
Real pict ,5
